EAN/Barcode,Product Name,Category,Price,Offer Type,Product URL,Image URL
5010394004718,5x Medium Dentastix Daily Pedigree Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,1.89,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379278?activeVariant=1379278.4099955,https://media.zooplus.com/bilder/8/800/7_new_project_4__8.jpg
7613038102290,72x Large Breed Purina Dentalife Daily Dental Care Dog Snacks,Dog/Dog Treats & Dog Bones/Dental Care,15.29,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/purina/983934?activeVariant=983934.4631118,https://media.zooplus.com/bilder/2/800/130100_pla_nestle_ger_main_dc_purina_dentalife_t_gliche_zahnpflege_snacks_f_r_gro_e_hunde_x72_sticks_hs_07_5_jpg_2.jpg
5010394984577,7x Small Dentastix Pedigree Daily Dental Dog Chews,Dog/Dog Treats & Dog Bones/Dental Care,1.79,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379267?activeVariant=1379267.4100021,https://media.zooplus.com/bilder/4/800/4_new_project_4__4.jpg
5998749105214,28x Medium Dentastix Daily Pedigree Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,6.99,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379278?activeVariant=1379278.4100042,https://media.zooplus.com/bilder/4/800/5010394984584_spi_uk_pedigree_dentastix_daily_oral_care_medium_dogs_10_25kg_7_sticks__9_4.jpg
5010394001410,56x Medium Dentastix Pedigree Daily Oral Care Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,11.49,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379278?activeVariant=1379278.4099956,https://media.zooplus.com/bilder/4/800/5010394984584_spi_uk_pedigree_dentastix_daily_oral_care_medium_dogs_10_25kg_7_sticks__9_4.jpg
5010394001410,112x Medium Dentastix Pedigree Daily Oral Care Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,21.59,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379278?activeVariant=1379278.4100043,https://media.zooplus.com/bilder/4/800/5010394984584_spi_uk_pedigree_dentastix_daily_oral_care_medium_dogs_10_25kg_7_sticks__9_4.jpg
5010394004800,35x Small Dentastix Pedigree Daily Dental Dog Chews,Dog/Dog Treats & Dog Bones/Dental Care,6.49,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379267?activeVariant=1379267.4100022,https://media.zooplus.com/bilder/5/800/5_new_project_4__5.jpg
5010394004992,70x Small Dentastix Pedigree Daily Oral Care Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,9.79,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379267?activeVariant=1379267.4100023,https://media.zooplus.com/bilder/2/800/5010394984577_spi_uk_pedigree_dentastix_daily_oral_care_small_dogs_5_10kg_7_sticks__2.jpg
5010394004992,140x Small Dentastix Pedigree Daily Oral Care Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,18.19,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379267?activeVariant=1379267.4099943,https://media.zooplus.com/bilder/2/800/5010394984577_spi_uk_pedigree_dentastix_daily_oral_care_small_dogs_5_10kg_7_sticks__2.jpg
5998749120804,72g Puppy Tubos Pedigree Dog Treats,Dog/Dog Treats & Dog Bones/Dental Care,1.29,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/296046?activeVariant=296046.905035,https://media.zooplus.com/bilder/5/800/51864_PLA_Pedigry_PuppyTubos_3Sticks_Chicken_5.jpg
5998749120804,3x72g Chicken Pedigree Puppy Tubos Dog Treats & Bones,Dog/Dog Treats & Dog Bones/Dental Care,3.19,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/296046?activeVariant=296046.1077988,https://media.zooplus.com/bilder/5/800/51864_PLA_Pedigry_PuppyTubos_3Sticks_Chicken_5.jpg
5010394001588,28x Medium Dentastix Fresh Pedigree Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,6.79,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379206?activeVariant=1379206.4100246,https://media.zooplus.com/bilder/1/800/1_new_project_9__1.jpg
5010394001588,56x Medium Dentastix Fresh Pedigree Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,12.89,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379206?activeVariant=1379206.4100247,https://media.zooplus.com/bilder/1/800/1_new_project_9__1.jpg
5010394001588,112x Medium Dentastix Fresh Pedigree Dog Dental Chews,Dog/Dog Treats & Dog Bones/Dental Care,25.09,,https://www.zooplus.co.uk/shop/dogs/dog_treats_chews/dental_care/pedigree/1379206?activeVariant=1379206.4100248,https://media.zooplus.com/bilder/1/800/1_new_project_9__1.jpg
